codusu,nro_hogar,componente,ano4,aglomerado,pondera,ch04,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,nivel_ed,estado,cat_ocup,cat_inac,pp02c1,pp02c2,pp02c3,pp02c4,pp02c5,pp02c6,pp02c7,pp02c8,pp02e,pp02h,pp02i,p21,decocur,rdecocur,gdecocur,adecocur,tot_p12,p47t,decindr,rdecindr,gdecindr,adecindr,v2_m,v3_m,v4_m,v5_m,v8_m,v9_m,v10_m,v11_m,v12_m,v18_m,v19_am,v21_m,t_vi,itf,decifr,rdecifr,gdecifr,adecifr,ipcf,deccfr,rdeccfr,gdeccfr,adeccfr,pareja_actual,tiene/busca_trabajo,cobertura_m,cobertura_m2,nivel_ed_or,inac_eco,inac_neco,PEA,PET,desocupado,edad_grupos
125599  ,1.0,5.0,2004,32,1471.0,2,77.0,4.0,1.0,1,2,9.0,2,1.0,  ,1,1,2,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,00,0.0,240.0,03,03,03,02,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,1040.0,07,06,07,05,116603.9056,04,04,04,02,0,1,1,0,2,0,0,1,0,0,"[70, 80)"
125783  ,1.0,1.0,2004,32,1375.0,1,50.0,2.0,12.0,1,2,9.0,7,1.0,  ,3,1,6,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,08,07,08,06,0.0,750.0,08,07,08,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,05,05,05,03,84089.355,03,03,03,01,1,1,1,1,6,0,0,1,1,0,"[50, 60)"
125783  ,1.0,2.0,2004,32,1375.0,2,49.0,2.0,12.0,1,2,9.0,6,1.0,  ,3,1,6,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,00,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,05,05,05,03,84089.355,03,03,03,01,1,1,1,1,6,0,0,1,1,0,"[40, 50)"
125783  ,1.0,3.0,2004,32,1375.0,1,26.0,5.0,12.0,1,2,9.0,7,1.0,  ,3,1,6,2,3.0,0.0,No,Sí,No,No,No,No,No,No,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,05,05,05,03,84089.355,03,03,03,01,0,1,1,1,6,0,0,1,1,1,"[20, 30)"
125783  ,1.0,4.0,2004,32,1375.0,1,22.0,5.0,12.0,1,1,2.0,7,2.0,04,3,1,5,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,05,05,05,03,84089.355,03,03,03,01,0,0,1,1,5,1,0,0,1,0,"[20, 30)"
125783  ,1.0,5.0,2004,32,1375.0,1,18.0,5.0,12.0,1,1,2.0,4,2.0,04,1,1,3,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,05,05,05,03,84089.355,03,03,03,01,0,0,1,1,3,1,0,0,1,0,"[10, 20)"
125854  ,1.0,1.0,2004,32,1796.0,2,86.0,5.0,1.0,1,2,9.0,4,2.0,02,1,1,3,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,690.0,07,07,07,05,240.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,690.0,1470.0,08,08,08,07,412037.8395,09,09,09,07,0,0,1,0,3,1,0,0,0,0,"[80, 90)"
125854  ,1.0,2.0,2004,32,1796.0,2,62.0,9.0,12.0,1,2,9.0,4,2.0,03,1,1,3,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,08,07,08,06,0.0,780.0,08,07,08,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0,08,08,08,07,412037.8395,09,09,09,07,0,1,1,1,3,0,0,1,1,0,"[60, 70)"
126175  ,1.0,1.0,2004,32,1815.0,1,76.0,2.0,1.0,1,2,9.0,7,1.0,  ,1,1,6,2,2.0,0.0,No,No,No,No,No,Sí,No,No,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,1850.0,10,10,10,09,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850.0,2070.0,09,09,09,08,580216.5495,10,10,10,08,1,1,1,0,6,0,0,1,0,1,"[70, 80)"
126175  ,1.0,2.0,2004,32,1815.0,2,77.0,2.0,1.0,1,2,9.0,4,1.0,  ,1,1,4,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,220.0,03,02,03,01,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,2070.0,09,09,09,08,580216.5495,10,10,10,08,1,0,1,0,4,1,0,0,0,0,"[70, 80)"
